data,ativo,tone,volume
2022-09-21,BTC,-0.6837,
2022-09-22,BTC,-0.7376,
2022-09-23,BTC,-1.3726,
2022-09-24,BTC,-0.3549,
2022-09-25,BTC,-0.1976,
2022-09-26,BTC,-0.5722,
2022-09-27,BTC,-0.9992,
2022-09-28,BTC,-0.8387,
2022-09-29,BTC,-0.4855,
2022-09-30,BTC,-0.732,
2022-10-01,BTC,-0.921,
2022-10-02,BTC,-1.0529,
2022-10-03,BTC,-0.3297,
2022-10-04,BTC,-0.4996,
2022-10-05,BTC,-0.1403,
2022-10-06,BTC,-1.9056,
2022-10-07,BTC,-0.657,
2022-10-08,BTC,-1.0915,
2022-10-09,BTC,-0.3075,
2022-10-10,BTC,-0.5209,
2022-10-11,BTC,-0.3904,
2022-10-12,BTC,-0.0554,
2022-10-13,BTC,-0.3903,
2022-10-14,BTC,-0.3893,
2022-10-15,BTC,-0.0762,
2022-10-16,BTC,-0.5462,
2022-10-17,BTC,-0.1416,
2022-10-18,BTC,-0.3378,
2022-10-19,BTC,-0.2605,
2022-10-20,BTC,-0.347,
2022-10-21,BTC,-1.0194,
2022-10-22,BTC,-0.5367,
2022-10-23,BTC,-0.3063,
2022-10-24,BTC,-1.8271,
2022-10-25,BTC,-0.9035,
2022-10-26,BTC,-0.3773,
2022-10-27,BTC,0.0524,
2022-10-28,BTC,-0.0581,
2022-10-29,BTC,-0.3663,
2022-10-30,BTC,0.0289,
2022-10-31,BTC,-0.3211,
2022-11-01,BTC,0.1797,
2022-11-02,BTC,-0.2314,
2022-11-03,BTC,-0.1823,
2022-11-04,BTC,0.1635,
2022-11-05,BTC,-0.2755,
2022-11-06,BTC,0.3299,
2022-11-07,BTC,-1.792,
2022-11-08,BTC,-1.9227,
2022-11-09,BTC,-2.1751,
2022-11-10,BTC,-0.907,
2022-11-11,BTC,-2.8867,
2022-11-12,BTC,-2.7666,
2022-11-13,BTC,-2.76,
2022-11-14,BTC,-1.9321,
2022-11-15,BTC,-1.535,
2022-11-16,BTC,-1.2057,
2022-11-17,BTC,-1.1309,
2022-11-18,BTC,-1.3086,
2022-11-19,BTC,-1.3798,
2022-11-20,BTC,-1.3429,
2022-11-21,BTC,-1.848,
2022-11-22,BTC,-2.3559,
2022-11-23,BTC,-0.8942,
2022-11-24,BTC,-2.0306,
2022-11-25,BTC,-2.0002,
2022-11-26,BTC,-0.5836,
2022-11-27,BTC,-0.9964,
2022-11-28,BTC,-1.5545,
2022-11-29,BTC,-1.5814,
2022-11-30,BTC,-0.4402,
2022-12-01,BTC,-1.0076,
2022-12-02,BTC,-1.0818,
2022-12-03,BTC,-2.3269,
2022-12-04,BTC,-1.0549,
2022-12-05,BTC,-1.2146,
2022-12-06,BTC,-1.4016,
2022-12-07,BTC,-0.8242,
2022-12-08,BTC,-1.2608,
2022-12-09,BTC,-0.5909,
2022-12-10,BTC,-0.3856,
2022-12-11,BTC,-0.8453,
2022-12-12,BTC,-0.8634,
2022-12-13,BTC,-2.4159,
2022-12-14,BTC,-1.7768,
2022-12-15,BTC,-0.7751,
2022-12-16,BTC,-1.9354,
2022-12-17,BTC,-1.9848,
2022-12-18,BTC,-1.3186,
2022-12-19,BTC,-1.408,
2022-12-20,BTC,-1.1953,
2022-12-21,BTC,-0.8745,
2022-12-22,BTC,-1.8097,
2022-12-23,BTC,-1.9702,
2022-12-24,BTC,-1.4492,
2022-12-25,BTC,-1.2401,
2022-12-26,BTC,-0.7944,
2022-12-27,BTC,-1.889,
2022-12-28,BTC,-1.0096,
2022-12-29,BTC,-1.4509,
2022-12-30,BTC,-1.9984,
2022-12-31,BTC,-0.5692,
2023-01-01,BTC,-0.9416,
2023-01-02,BTC,-0.703,
2023-01-03,BTC,-1.1968,
2023-01-04,BTC,-1.3424,
2023-01-05,BTC,-1.4204,
2023-01-06,BTC,-1.6417,
2023-01-07,BTC,-0.6929,
2023-01-08,BTC,-0.4023,
2023-01-09,BTC,0.1392,
2023-01-10,BTC,-1.6906,
